concept,element,estadistico,breakdown,category,measure,wave,value
INCOME,LABOUR INCOME,MEAN,NET WEALTH PERCENTILE,Between 90 and 100,Thousands of euro (),2020,70.16523121354278
INCOME,LABOUR INCOME,MEAN,NET WEALTH PERCENTILE,Under 25,Thousands of euro (),2020,22.66601181950719
INCOME,LABOUR INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 25 and 50,Thousands of euro (),2020,25.880085216522588
INCOME,LABOUR INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 50 and 75,Thousands of euro (),2020,34.26927225574947
INCOME,LABOUR INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 75 and 90,Thousands of euro (),2020,43.14535076251835
INCOME,LABOUR INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 90 and 100,Thousands of euro (),2020,54.77764277238624
INCOME,LABOUR INCOME,MEDIAN,NET WEALTH PERCENTILE,Under 25,Thousands of euro (),2020,20.22851435328658
INCOME,CAPITAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 25 and 50,Thousands of euro (),2020,3.2002974684213417
INCOME,CAPITAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 50 and 75,Thousands of euro (),2020,4.93699363980682
INCOME,CAPITAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 75 and 90,Thousands of euro (),2020,4.897560424854477
INCOME,CAPITAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 90 and 100,Thousands of euro (),2020,26.10826816817245
INCOME,CAPITAL INCOME,MEAN,NET WEALTH PERCENTILE,Under 25,Thousands of euro (),2020,2.9878262441470187
INCOME,CAPITAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 25 and 50,Thousands of euro (),2020,0.5236379933942261
INCOME,CAPITAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 50 and 75,Thousands of euro (),2020,0.7264160781275484
INCOME,CAPITAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 75 and 90,Thousands of euro (),2020,3.1931386580492576
INCOME,CAPITAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 90 and 100,Thousands of euro (),2020,8.980940543956942
INCOME,CAPITAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Under 25,Thousands of euro (),2020,1.8821391290164733
INCOME,TOTAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 25 and 50,Thousands of euro (),2017,30.48241842069567
INCOME,TOTAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 50 and 75,Thousands of euro (),2017,36.8300301929775
INCOME,TOTAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 75 and 90,Thousands of euro (),2017,52.008484287317295
INCOME,TOTAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 90 and 100,Thousands of euro (),2017,91.15308935125005
INCOME,TOTAL INCOME,MEAN,NET WEALTH PERCENTILE,Under 25,Thousands of euro (),2017,23.3220569075632
INCOME,TOTAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 25 and 50,Thousands of euro (),2017,23.90990859674228
INCOME,TOTAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 50 and 75,Thousands of euro (),2017,31.155335444239945
INCOME,TOTAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 75 and 90,Thousands of euro (),2017,42.71960043141471
INCOME,TOTAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 90 and 100,Thousands of euro (),2017,66.49850912310177
INCOME,TOTAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Under 25,Thousands of euro (),2017,19.51159256052376
INCOME,LABOUR INCOME,MEAN,NET WEALTH PERCENTILE,Between 25 and 50,Thousands of euro (),2017,28.798928017684627
INCOME,LABOUR INCOME,MEAN,NET WEALTH PERCENTILE,Between 50 and 75,Thousands of euro (),2017,34.28471832521204
INCOME,LABOUR INCOME,MEAN,NET WEALTH PERCENTILE,Between 75 and 90,Thousands of euro (),2017,45.88808261182262
INCOME,LABOUR INCOME,MEAN,NET WEALTH PERCENTILE,Between 90 and 100,Thousands of euro (),2017,67.50429967424667
INCOME,LABOUR INCOME,MEAN,NET WEALTH PERCENTILE,Under 25,Thousands of euro (),2017,21.67320396014341
INCOME,LABOUR INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 25 and 50,Thousands of euro (),2017,23.01026196863306
INCOME,LABOUR INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 50 and 75,Thousands of euro (),2017,28.711073317075225
INCOME,LABOUR INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 75 and 90,Thousands of euro (),2017,39.71668439641761
